epoch,accuracy,loss,val_accuracy,val_loss
0,0.37448105216026306,1.3263530731201172,0.4380403459072113,1.2759983539581299
1,0.6573484539985657,0.973957359790802,0.6685879230499268,0.9149044752120972
2,0.8065319657325745,0.5680403113365173,0.6916426420211792,0.7924472093582153
3,0.8513700366020203,0.403302937746048,0.6945244669914246,0.7922133803367615
4,0.8823692202568054,0.3248806595802307,0.7089337110519409,0.8453226685523987
5,0.9100470542907715,0.26263976097106934,0.6974063515663147,0.8939068913459778
6,0.9288679957389832,0.2142478972673416,0.6945244669914246,0.946193277835846
7,0.9396623373031616,0.1874821037054062,0.6945244669914246,1.0140570402145386
8,0.945751428604126,0.16000814735889435,0.6829971075057983,1.063554286956787
9,0.9612510204315186,0.13709932565689087,0.7002881765365601,1.0736178159713745
10,0.9640188217163086,0.1174195259809494,0.6685879230499268,1.1863770484924316
11,0.9676169157028198,0.11217176169157028,0.6743515729904175,1.1702079772949219
12,0.9684472680091858,0.10131281614303589,0.7118155360221863,1.211075782775879
13,0.972045361995697,0.09921667724847794,0.6714697480201721,1.257631540298462
14,0.973429262638092,0.09064999222755432,0.6858789920806885,1.3242170810699463
15,0.9731525182723999,0.08445826172828674,0.6743515729904175,1.3744689226150513
16,0.9759202599525452,0.08011546730995178,0.6974063515663147,1.40242338180542
17,0.9748131632804871,0.08012722432613373,0.7060518860816956,1.446466326713562
18,0.9761970639228821,0.07376601547002792,0.6945244669914246,1.441257357597351
19,0.9775809645652771,0.0737745612859726,0.6945244669914246,1.4870904684066772
20,0.976473867893219,0.07027530670166016,0.7060518860816956,1.4569482803344727
21,0.9775809645652771,0.06527822464704514,0.6974063515663147,1.5226130485534668
22,0.9795184135437012,0.060402195900678635,0.6887608170509338,1.6264947652816772
23,0.9778577089309692,0.06958802044391632,0.7060518860816956,1.5631951093673706
24,0.9784113168716431,0.06416411697864532,0.7031700015068054,1.5849605798721313
